year,forecast_10k_tons,forecast_opt_10k_tons,forecast_blend_10k_tons,lower_95,upper_95
2026,62102.97922284459,60382.21436443482,61078.4842279226,56475.26814138017,67730.690304309
2027,64082.452390501974,62586.77079494584,63191.96563912778,58454.741309037556,69710.16347196639
2028,66125.01937540434,64702.667488951774,65278.19107020804,60497.308293939925,71752.73045686875
