year,import_10k_tons,production_10k_tons,growth_rate_percent,dependency_percent
2021,51292.0,19898.0,,72.04944514679028
2022,50823.0,20467.0,-0.9143726117133322,71.29050357693926
2023,56394.0,20891.0,10.961572516380368,72.96888141295206
2024,55323.0,21282.0,-1.8991382061921525,72.21852359506559
2025,57773.0,21605.0,4.428537859479786,72.78213106906196
